symbol,name,theme,bucket,priority,market,sector,asset_type,is_topix500,is_jpx_prime150,is_growth250,is_jpx_startup100,source_detail,source_url
1332.T,ニッスイ,Japan TOPIX 500,Core,A,Prime/TOPIX,水産・農林業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1333.T,Ｕｍｉｏｓ,Japan TOPIX 500,Core,A,Prime/TOPIX,水産・農林業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1414.T,ショーボンドホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1417.T,ミライト・ワン,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1605.T,ＩＮＰＥＸ,Japan TOPIX 500,Core,A,Prime/TOPIX,鉱業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1719.T,安藤・間,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1721.T,コムシスホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1801.T,大成建設,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1802.T,大林組,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1803.T,清水建設,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1808.T,長谷工コーポレーション,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1812.T,鹿島建設,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1820.T,西松建設,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1860.T,戸田建設,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1878.T,大東建託,Japan Quality / Prime 150,Core,A,Prime/TOPIX,不動産業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
1893.T,五洋建設,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1911.T,住友林業,Japan TOPIX 500,Core,A,Prime/TOPIX,建設業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
1925.T,大和ハウス工業,Japan Quality / Prime 150,Core,A,Prime/TOPIX,建設業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
1928.T,積水ハウス,Japan Quality / Prime 150,Core,A,Prime/TOPIX,建設業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
