symbol,name,theme,bucket,priority,market,sector,asset_type,is_topix500,is_jpx_prime150,is_growth250,is_jpx_startup100,source_detail,source_url
9348.T,"ispace,inc.",Space Pure Play / Tier 1,Discovery,A,Growth,,equity,false,false,true,true,space_pure_play_tier1,https://finance.yahoo.co.jp/quote/9348.T
464A.T,QPS Holdings Inc.,Space Pure Play / Tier 1,Discovery,A,Growth,,equity,false,false,false,true,space_pure_play_tier1,https://finance.yahoo.co.jp/quote/464A.T
290A.T,Synspective Inc.,Space Pure Play / Tier 1,Discovery,A,Growth,,equity,false,false,true,true,space_pure_play_tier1,https://finance.yahoo.co.jp/quote/290A.T
402A.T,Axelspace Holdings Corporation,Space Pure Play / Tier 1,Discovery,A,Growth,,equity,false,false,true,false,space_pure_play_tier1,https://finance.yahoo.co.jp/quote/402A.T
6232.T,ACSL Ltd.,Drone / UAV / Tier 1,Discovery,A,Growth,,equity,false,false,true,false,drone_uav_tier1,https://finance.yahoo.co.jp/quote/6232.T
278A.T,Terra Drone Corporation,Drone / UAV / Tier 1,Discovery,A,Growth,,equity,false,false,true,true,drone_uav_tier1,https://finance.yahoo.co.jp/quote/278A.T
218A.T,"Liberaware Co.,Ltd.",Drone / UAV / Tier 1,Discovery,A,Growth,,equity,false,false,true,true,drone_uav_tier1,https://finance.yahoo.co.jp/quote/218A.T
5597.T,"Blue innovation Co.,Ltd.",Drone / UAV / Tier 1,Discovery,A,Growth,,equity,false,false,true,false,drone_uav_tier1,https://finance.yahoo.co.jp/quote/5597.T
6954.T,ファナック,Robotics Core / Tier 1,Core,A,Prime/TOPIX,電気機器,equity,true,true,false,false,robotics_core_tier1,https://finance.yahoo.co.jp/quote/6954.T
6506.T,安川電機,Robotics Core / Tier 1,Core,A,Prime/TOPIX,電気機器,equity,true,true,false,false,robotics_core_tier1,https://finance.yahoo.co.jp/quote/6506.T
7779.T,"CYBERDYNE,INC.",Robotics Core / Tier 1,Discovery,A,Growth,,equity,false,false,true,false,robotics_core_tier1,https://finance.yahoo.co.jp/quote/7779.T
6324.T,ハーモニック・ドライブ・システムズ,Robotics Components / Tier 1,Core,A,Standard,機械,equity,false,false,false,false,robotics_components_tier1,https://finance.yahoo.co.jp/quote/6324.T
6268.T,ナブテスコ,Robotics Components / Tier 1,Core,A,Prime/TOPIX,機械,equity,true,false,false,false,robotics_components_tier1,https://finance.yahoo.co.jp/quote/6268.T
4425.T,Kudan Inc.,Robotics Intelligence / Tier 1,Discovery,A,Growth,,equity,false,false,true,false,robotics_intelligence_tier1,https://finance.yahoo.co.jp/quote/4425.T
336A.T,"Dynamic Map Platform Co.,Ltd.",Robotics Intelligence / Tier 1,Discovery,A,Growth,,equity,false,false,true,true,robotics_intelligence_tier1,https://finance.yahoo.co.jp/quote/336A.T
3741.T,セック,Space / Robotics Software / Tier 1,Core,A,Prime,情報・通信業,equity,false,false,false,false,space_robotics_software_tier1,https://finance.yahoo.co.jp/quote/3741.T
6474.T,不二越,Robotics Components / Tier 2,Core,A,Prime/TOPIX,機械,equity,false,false,false,false,robotics_components_tier2,https://finance.yahoo.co.jp/quote/6474.T
7012.T,川崎重工業,Robotics / Aerospace / Tier 2,Core,A,Prime/TOPIX,輸送用機器,equity,true,false,false,false,robotics_aerospace_tier2,https://finance.yahoo.co.jp/quote/7012.T
7272.T,ヤマハ発動機,Robotics / Mobility / Tier 2,Core,A,Prime/TOPIX,輸送用機器,equity,true,false,false,false,robotics_mobility_tier2,https://finance.yahoo.co.jp/quote/7272.T
6503.T,三菱電機,FA / Space Systems / Tier 2,Core,A,Prime/TOPIX,電気機器,equity,true,true,false,false,fa_space_systems_tier2,https://finance.yahoo.co.jp/quote/6503.T
6594.T,ニデック,Robotics Motors / Tier 2,Core,A,Prime/TOPIX,電気機器,equity,false,false,false,false,robotics_motors_tier2,https://finance.yahoo.co.jp/quote/6594.T
6383.T,ダイフク,Automation / Logistics Robotics / Tier 2,Core,A,Prime/TOPIX,機械,equity,true,true,false,false,automation_logistics_robotics_tier2,https://finance.yahoo.co.jp/quote/6383.T
6258.T,平田機工,Factory Automation / Tier 2,Core,A,Prime,機械,equity,false,false,false,false,factory_automation_tier2,https://finance.yahoo.co.jp/quote/6258.T
7011.T,三菱重工業,Space / Aerospace / Defense / Tier 2,Core,A,Prime/TOPIX,機械,equity,true,true,false,false,space_aerospace_defense_tier2,https://finance.yahoo.co.jp/quote/7011.T
7013.T,ＩＨＩ,Space / Aerospace / Defense / Tier 2,Core,A,Prime/TOPIX,機械,equity,true,true,false,false,space_aerospace_defense_tier2,https://finance.yahoo.co.jp/quote/7013.T
6965.T,浜松ホトニクス,Space Sensors / Photonics / Tier 2,Core,A,Prime/TOPIX,電気機器,equity,true,false,false,false,space_sensors_photonics_tier2,https://finance.yahoo.co.jp/quote/6965.T
6521.T,OXIDE Corporation,Space / Photonics / Tier 2,Discovery,B,Growth,,equity,false,false,true,false,space_photonics_tier2,https://finance.yahoo.co.jp/quote/6521.T
6814.T,古野電気,GNSS / Navigation / Tier 2,Core,B,Prime,電気機器,equity,false,false,false,false,gnss_navigation_tier2,https://finance.yahoo.co.jp/quote/6814.T
6779.T,日本電波工業,Space / Communication Devices / Tier 2,Core,B,Prime,電気機器,equity,false,false,false,false,space_communication_devices_tier2,https://finance.yahoo.co.jp/quote/6779.T
6861.T,キーエンス,FA Sensors / Automation Adjacent / Tier 3,Core,B,Prime/TOPIX,電気機器,equity,true,true,false,false,automation_ai_adjacent_tier3,https://finance.yahoo.co.jp/quote/6861.T
6645.T,オムロン,FA Control / Automation Adjacent / Tier 3,Core,B,Prime/TOPIX,電気機器,equity,true,false,false,false,automation_ai_adjacent_tier3,https://finance.yahoo.co.jp/quote/6645.T
6103.T,オークマ,Machine Tools / Automation Adjacent / Tier 3,Core,B,Prime,機械,equity,false,false,false,false,automation_ai_adjacent_tier3,https://finance.yahoo.co.jp/quote/6103.T
6146.T,ディスコ,Precision Equipment / Automation Adjacent / Tier 3,Core,B,Prime/TOPIX,機械,equity,true,true,false,false,automation_ai_adjacent_tier3,https://finance.yahoo.co.jp/quote/6146.T
7735.T,ＳＣＲＥＥＮホールディングス,Semiconductor Equipment / Automation Adjacent / Tier 3,Core,B,Prime/TOPIX,電気機器,equity,true,true,false,false,automation_ai_adjacent_tier3,https://finance.yahoo.co.jp/quote/7735.T
5572.T,Ridge-i Inc.,AI / Satellite Data Adjacent / Tier 3,Discovery,B,Growth,,equity,false,false,true,false,automation_ai_adjacent_tier3,https://finance.yahoo.co.jp/quote/5572.T
5574.T,"ABEJA,Inc.",Industrial AI Adjacent / Tier 3,Discovery,B,Growth,,equity,false,false,true,false,automation_ai_adjacent_tier3,https://finance.yahoo.co.jp/quote/5574.T
5582.T,GRID Inc.,AI Optimization Adjacent / Tier 3,Discovery,B,Growth,,equity,false,false,true,false,automation_ai_adjacent_tier3,https://finance.yahoo.co.jp/quote/5582.T
