symbol,local_code,company_name,market,sector_33_code,sector_33_name,sector_17_code,sector_17_name,size_code,size_name,effective_date,source,updated_at
1301.T,1301,極洋,プライム（内国株式）,0050,水産・農林業,0001,食品,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1305.T,1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1306.T,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1308.T,1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1309.T,1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1311.T,1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1319.T,1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1320.T,1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1321.T,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1322.T,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1325.T,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1326.T,1326,ＳＰＤＲゴールド・シェア,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1328.T,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1329.T,1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1330.T,1330,上場インデックスファンド２２５,ETF・ETN,-,-,-,-,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1332.T,1332,ニッスイ,プライム（内国株式）,0050,水産・農林業,0001,食品,0004,TOPIX Mid400,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
1333.T,1333,Ｕｍｉｏｓ,プライム（内国株式）,0050,水産・農林業,0001,食品,0004,TOPIX Mid400,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
