symbol,name,theme,bucket,priority
8035.T,Tokyo Electron,Semiconductor Equipment,Core,A
6857.T,Advantest,Semiconductor Test,Core,A
6146.T,DISCO,Semiconductor Equipment,Core,A
6920.T,Lasertec,Semiconductor Inspection,Core,A
5803.T,Fujikura,AI Data Center Infrastructure,Core,A
5802.T,Sumitomo Electric,Data Center and Power Infrastructure,Core,A
6501.T,Hitachi,AI Infrastructure and Energy,Core,A
6503.T,Mitsubishi Electric,Factory Automation and Power Systems,Core,A
7011.T,Mitsubishi Heavy Industries,Defense Energy and Aerospace,Core,A
7012.T,Kawasaki Heavy Industries,Defense Aerospace and Energy,Core,A
7013.T,IHI,Aerospace Defense and Energy,Core,A
6758.T,Sony Group,Semiconductors Gaming and Entertainment,Core,A
7974.T,Nintendo,Interactive Entertainment,Core,A
9984.T,SoftBank Group,AI and Technology Investment,Core,A
4425.T,Kudan,Physical AI and Spatial Intelligence,Discovery,A
135A.T,VRAIN Solution,Manufacturing AI and Visual Inspection,Discovery,A
3993.T,PKSHA Technology,AI SaaS and Algorithms,Discovery,A
5582.T,GRID,AI Optimization Energy and Logistics,Discovery,A
4011.T,Headwaters,AI Agents and DX,Discovery,B
3652.T,Digital Media Professionals,Edge AI and AI Processor,Discovery,B
5256.T,Fusic,Cloud AI IoT and Space,Watch,C
